event_id,source_record_id,state,district,start_date,end_date,candidate_count,body_available_count,primary_body_available_count,weak_body_available_count,no_body_count,heuristic_pass_count,weak_heuristic_pass_count,heuristic_no_count,weak_heuristic_no_count,unique_llm_request_count,llm_pending_count,llm_yes_count,llm_no_count,llm_ambiguous_no_count,llm_error_count,final_article_count,count_source
E184,2024-0561-IND,Himachal Pradesh,Himachal Pradesh,2024-07-31,2024-08-23,1843,1347,1338,9,496,1311,2,27,7,1293,1293,0,0,0,0,1311,heuristic
E185,2024-0624-IND,Tripura,Tripura,2024-08-19,2024-08-23,1334,931,927,4,403,918,0,9,4,886,886,0,0,0,0,918,heuristic
E186,2024-0647-IND,Gujarat,Gujarat,2024-08-26,2024-08-27,2079,1662,1649,13,417,1550,6,99,7,1505,1505,0,0,0,0,1550,heuristic
E187,2024-0647-IND,Maharashtra,Maharashtra,2024-08-26,2024-08-27,3194,2102,2095,7,1092,1916,4,179,3,1819,1819,0,0,0,0,1916,heuristic
E188,2024-0647-IND,Tripura,Tripura,2024-08-26,2024-08-27,720,550,549,1,170,546,0,3,1,532,532,0,0,0,0,546,heuristic
E189,2024-0719-IND,Meghalaya,Meghalaya,2024-10-04,2024-10-07,67,54,54,0,13,53,0,1,0,53,53,0,0,0,0,53,heuristic
E190,2025-0402-IND,Arunachal Pradesh,Arunachal Pradesh,2025-05-31,2025-06-01,159,132,132,0,27,130,0,2,0,126,126,0,0,0,0,130,heuristic
E191,2025-0402-IND,Assam,Assam,2025-05-31,2025-06-01,1272,1041,1034,7,231,1016,4,18,3,976,976,0,0,0,0,1016,heuristic
E192,2025-0402-IND,Manipur,Manipur,2025-05-31,2025-06-01,766,606,600,6,160,589,5,11,1,577,577,0,0,0,0,589,heuristic
E193,2025-0402-IND,Meghalaya,Meghalaya,2025-05-31,2025-06-01,69,58,57,1,11,54,0,3,1,49,49,0,0,0,0,54,heuristic
E194,2025-0402-IND,Mizoram,Mizoram,2025-05-31,2025-06-01,92,78,77,1,14,75,0,2,1,71,71,0,0,0,0,75,heuristic
E195,2025-0402-IND,Nagaland,Nagaland,2025-05-31,2025-06-01,360,281,279,2,79,279,1,0,1,272,272,0,0,0,0,279,heuristic
E196,2025-0402-IND,Sikkim,Sikkim,2025-05-31,2025-06-01,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,heuristic
E197,2025-0402-IND,Tripura,Tripura,2025-05-31,2025-06-01,516,413,412,1,103,408,1,4,0,394,394,0,0,0,0,408,heuristic
E198,2025-0469-IND,Himachal Pradesh,Himachal Pradesh,2025-06-20,2025-07-07,5731,4615,4584,31,1116,4528,29,56,2,4449,4449,0,0,0,0,4528,heuristic
E199,2025-0469-IND,Uttarakhand,Uttarakhand,2025-06-20,2025-07-07,6046,4639,4605,34,1407,4509,27,96,7,4376,4376,0,0,0,0,4509,heuristic
E200,2025-0690-IND,Jammu and Kashmir,Jammu and Kashmir,2025-08-14,2025-08-15,7811,5739,5676,63,2072,5582,38,94,25,5290,5290,0,0,0,0,5582,heuristic
E201,2025-0751-IND,Punjab,Punjab,2025-08-15,2025-09-19,4586,3765,3743,22,821,3712,20,31,2,3641,3641,0,0,0,0,3712,heuristic
E202,2025-0803-IND,Uttarakhand,Uttarakhand,2025-09-15,2025-09-17,1554,1298,1291,7,256,1241,6,50,1,1206,1206,0,0,0,0,1241,heuristic
E203,2025-0859-IND,Bihar,Bihar,2025-10-03,2025-10-07,1583,1362,1351,11,221,1287,8,64,3,1277,1277,0,0,0,0,1287,heuristic
E204,2025-0859-IND,West Bengal,West Bengal,2025-10-03,2025-10-07,1713,1356,1353,3,357,1269,3,84,0,1175,1175,0,0,0,0,1269,heuristic
